after,before,flip_tax,total_flips,council
"$801,240,000.00","$289,789,000.00","$5,114,510.00",4,1
"$242,576,000.00","$121,287,380.00","$1,212,886.20",3,2
"$214,962,600.00","$115,706,400.00","$992,562.00",7,4
"$164,538,900.00","$80,491,300.00","$840,476.00",4,3
"$113,866,449.00","$48,582,560.00","$652,838.89",115,36
"$83,209,141.00","$35,594,335.00","$476,148.06",118,37
"$94,044,217.00","$46,761,563.00","$472,826.54",192,27
"$72,877,085.00","$33,562,720.00","$393,143.65",92,41
"$72,279,620.00","$36,311,300.00","$359,683.20",34,34
"$60,935,559.00","$30,089,629.00","$308,459.30",139,28
"$53,258,420.00","$24,612,540.00","$286,458.80",11,33
"$41,103,890.00","$18,374,726.00","$227,291.64",27,35
"$37,723,800.00","$17,829,500.00","$198,943.00",17,39
"$39,970,122.00","$20,171,985.00","$197,981.37",85,31
"$28,716,857.00","$13,537,816.00","$151,790.41",59,42
"$27,194,359.00","$12,467,035.00","$147,273.24",41,45
"$28,905,013.00","$14,794,536.00","$141,104.77",63,12
"$28,927,908.00","$15,067,300.00","$138,606.08",62,46
"$25,459,277.00","$11,708,799.00","$137,504.78",27,40
"$25,262,934.00","$11,984,426.00","$132,785.08",28,21
"$23,090,751.00","$11,091,050.00","$119,997.01",29,30
"$21,093,270.00","$9,486,360.00","$116,069.10",8,9
"$15,593,140.00","$5,740,000.00","$98,531.40",6,26
"$19,515,132.00","$10,207,714.00","$93,074.18",39,32
"$17,978,127.00","$9,035,198.00","$89,429.29",28,17
"$14,191,400.00","$6,515,500.00","$76,759.00",15,47
"$12,647,129.00","$5,697,510.00","$69,496.19",13,48
"$13,638,322.00","$6,780,000.00","$68,583.22",14,19
"$11,574,950.00","$5,716,488.00","$58,584.62",24,13
"$12,278,998.00","$6,593,504.00","$56,854.94",19,23
"$12,275,000.00","$7,125,000.00","$51,500.00",1,6
"$9,974,460.00","$4,975,196.00","$49,992.64",16,15
"$7,337,500.00","$2,615,000.00","$47,225.00",7,44
"$9,152,900.00","$4,535,500.00","$46,174.00",20,18
"$11,501,690.00","$7,089,490.00","$44,122.00",4,10
"$9,312,900.00","$5,064,082.00","$42,488.18",12,11
"$5,646,160.00","$2,371,500.00","$32,746.60",8,22
"$6,589,500.00","$3,547,964.00","$30,415.36",10,24
"$5,625,000.00","$2,767,500.00","$28,575.00",6,38
"$5,227,045.00","$2,380,299.00","$28,467.46",7,29
"$5,785,180.00","$2,993,767.00","$27,914.13",10,16
"$6,330,850.00","$3,580,000.00","$27,508.50",6,43
"$5,117,385.00","$2,500,439.00","$26,169.46",6,25
"$5,123,000.00","$2,702,000.00","$24,210.00",5,14
"$4,925,000.00","$3,000,000.00","$19,250.00",1,5
"$3,484,430.00","$1,584,000.00","$19,004.30",2,7
"$1,707,885.00","$875,000.00","$8,328.85",2,20
"$1,395,000.00","$575,199.00","$8,198.01",3,8
